name,school,place,category
 Charla Adkison , Kinston High School ," Kinston , Alabama ", 1985 Award | 7-12 Science 
" John Miller, Jr. ", Edison Park Creative &amp; Expressive Arts School ," Fort Myers , Florida ", 1997 Award | K-6 Science 
 Dana Mills-Helman , Jesse G. Sanchez Elementary School ," Salinas , California ", 1997 Award | K-6 Science 
 Sharon Miya , Davis High School ," Kaysville , Utah ", 1997 Award | 7-12 Science 
 Marilyn Moore , Deer Run Elementary School ," Dublin , Ohio ", 1997 Award | K-6 Mathematics 
 Nina Morley Daye , Orange High School ," Hillsborough , North Carolina ", 1997 Award | 7-12 Science 
 Justin Mutrux , Raymondville School ," Raymondville , Mississippi ", 1997 Award | K-6 Science 
 Alfred Newman , Yarmouth High School ," Yarmouth , Maine ", 1997 Award | 7-12 Mathematics 
 Valerie Nichols , Russell Middle School ," Russell , Kentucky ", 1997 Award | 7-12 Science 
 Shelba Oberto , Colfax-Mingo Elementary School ," Colfax , Iowa ", 1997 Award | K-6 Science 
 Charla O'Dea , Jefferson Elementary School ," Belle Fourche , South Dakota ", 1997 Award | K-6 Mathematics 
 Mary Owings , Deer Park Jr. High School ," Deer Park , Texas ", 1997 Award | 7-12 Mathematics 
 Karen Pape , Breck Elementary School ," Minneapolis , Minnesota ", 1997 Award | K-6 Science 
 Kathleen Paris , Bethel High School ," Spanaway , Washington ", 1997 Award | 7-12 Science 
 Kathleen Parker , Milford Elementary School ," Milford , New Hampshire ", 1997 Award | K-6 Science 
 Sherry Parrish , Hoover City Schools ," Hoover , Alabama ", 1997 Award | K-6 Mathematics 
 Nancy Parson , Laing Middle School ," Mt. Pleasant , South Carolina ", 1997 Award | 7-12 Science 
 Sandra Pendergraft , Ponca City High School ," Ponca City , Oklahoma ", 1997 Award | 7-12 Mathematics 
 Lynda Penry , Wright Elementary ," Fort Walton Beach , Florida ", 1997 Award | K-6 Mathematics 
 J. Perry , Mt. Hebron High School ," Ellicott City , Maryland ", 1997 Award | 7-12 Science 
 Maureen Petrunic , Hanshew Middle School ," Anchorage , Alaska ", 1997 Award | K-6 Science 
 Deborah Pfortmiller , Shawnee Mission N.W. High School ," Shawnee Mission , Kansas ", 1997 Award | 7-12 Mathematics 
 Holly Piangerelli , District B Service Center ," North Hollywood , California ", 1997 Award | K-6 Mathematics 
 Carol Piercy , Alta Sierra Intermediate School ," Clovis , California ", 1997 Award | 7-12 Mathematics 
 Russell Pline , Chippewa Middle School ," Okemos , Michigan ", 1997 Award | 7-12 Science 
 Anne Polaski , Swallow Union School ," Dunstable , Massachusetts ", 1997 Award | K-6 Science 
 Cheryl Pool , Cabot Middle School ," Cabot , Arkansas ", 1997 Award | 7-12 Science 
 Judith Powers , Edgewood Elementary ," Roswell , New Mexico ", 1997 Award | K-6 Science 
 Carol Price , Robert E. Lee High School ," Baton Rouge , Louisiana ", 1997 Award | 7-12 Mathematics 
 Linda Pruski , Anson Jones Middle School ," San Antonio , Texas ", 1997 Award | 7-12 Science 
 Rosa Quinones Soto , Gregorio Rodriquez Orama School ," Aquada , Puerto Rico ", 1997 Award | K-6 Mathematics 
 Sara Ramos , Luis Cartagena Nieves School ," Caguas , Puerto Rico ", 1997 Award | K-6 Science 
 Thomas Reardon , Austintown Fitch High School ," Austintown , Ohio ", 1997 Award | 7-12 Mathematics 
 Kathy Reed , Sweetbriar Elementary School ," Troutdale , Oregon ", 1997 Award | K-6 Mathematics 
 Diana Reeves , The Gordon School ," East Providence , Rhode Island ", 1997 Award | K-6 Science 
 Rhonda Reist , Olathe North High School ," Olathe , Kansas ", 1997 Award | 7-12 Science 
 Dorothy Reitz , Dr Martin Luther King Jr Middle School ," Germantown , Maryland ", 1997 Award | 7-12 Mathematics 
 Marilyn Riggins , South Miami Senior High School ," Miami , Florida ", 1997 Award | 7-12 Mathematics 
 Marta Rivera , Thomas Armstrong Toro High School ," Ponce , Puerto Rico ", 1997 Award | 7-12 Science 
 Janet Robinson , Jack London Middle School ," Wheeling , Illinois ", 1997 Award | 7-12 Mathematics 
 Diana Roth , Lanphier High School ," Springfield , Illinois ", 1997 Award | 7-12 Science 
 Christine Royce , Bishop Hannan High School ," Scranton , Pennsylvania ", 1997 Award | 7-12 Science 
 Nancy Rudd , Pattengill Middle School ," Lansing , Michigan ", 1997 Award | 7-12 Mathematics 
 Eric Rude , Pocatello High School ," Pocatello , Idaho ", 1997 Award | 7-12 Science 
 Martin Rudolph , Oceanside High School ," Oceanside , New York ", 1997 Award | 7-12 Mathematics 
 Jeanne Ruiz , Corridor Elementary Alternative School ," Eugene , Oregon ", 1997 Award | K-6 Science 
 Jim Samson , Devils Lake High School ," Devils Lake , North Dakota ", 1997 Award | 7-12 Science 
 Judith Sander , East Evergreen School ," Kalispell , Montana ", 1997 Award | K-6 Science 
 Carolyn Scanlan , Faga&apos;itua High School ," Pago Pago , American Samoa ", 1997 Award | 7-12 Mathematics 
 William Schmidt , Emmaus Lutheran Elementary School ," Fort Wayne , Indiana ", 1997 Award | K-6 Science 
 Deborah Schultz , Lincoln Elementary School ," Minot , North Dakota ", 1997 Award | K-6 Science 
 Marie Schumacher , Roncalli Middle School ," Aberdeen , South Dakota ", 1997 Award | K-6 Science 
 Karen Scott , St. Francis DeSales High School ," Columbus , Ohio ", 1997 Award | 7-12 Science 
 Valerie Scott , Lowell Elementary ," Albuquerque , New Mexico ", 1997 Award | K-6 Mathematics 
 Swati Sharma , Manchester Memorial High School ," Manchester , New Hampshire ", 1997 Award | 7-12 Mathematics 
 Julia Sherman , Edwin O. Smith High School ," Storrs , Connecticut ", 1997 Award | 7-12 Science 
 Vickie Shiroma , Mililani Mauka Elementary School ," Mililani , Hawaii ", 1997 Award | K-6 Mathematics 
 Karen Shrake , Burtonsville Elementary School ," Burtonsville , Maryland ", 1997 Award | K-6 Science 
 Nancy Silva , Indian Brook Elementary School ," Plymouth , Massachusetts ", 1997 Award | K-6 Mathematics 
 Eric Smith , Aptos High School ," Aptos , California ", 1997 Award | 7-12 Science 
 Susan Smith-Ansotegui , Numa Elementary School ," Fallon , Nevada ", 1997 Award | K-6 Mathematics 
 Elizabeth Sosenke , Park Tudor School ," Indianapolis , Indiana ", 1997 Award | 7-12 Mathematics 
 Kathleen St. Onge , A.W. Hanmer School ," Wethersfield , Connecticut ", 1997 Award | K-6 Mathematics 
 Carol Stead , Delaware Department of Ed(SRC) ," Smyrna , Delaware ", 1997 Award | 7-12 Mathematics 
 Jamalee Stone , Rushville High School ," Rushville , Nebraska ", 1997 Award | 7-12 Mathematics 
 David Sullivan , Zama American High School ," APO , Armed Forces Pacific ", 1997 Award | 7-12 Science 
 Sally Tague , Career Ed Center/Distance Learning ," Denver , Colorado ", 1997 Award | K-6 Science 
 Patricia Tate , Osborn School District ," Phoenix , Arizona ", 1997 Award | K-6 Science 
 Peggy Taylor , South Central Elementary School ," Union Mills , Indiana ", 1997 Award | K-6 Mathematics 
 Richard Thompson , Philomath High School ," Philomath , Oregon ", 1997 Award | 7-12 Science 
 Wendy Tokumine , Farrington High School ," Honolulu , Hawaii ", 1997 Award | 7-12 Mathematics 
 Rhonda Toon , Lamar County Schools/GYSTC ," Barnesville , Georgia ", 1997 Award | K-6 Science 
 Lynn Torpey , Whatcom Middle School ," Bellingham , Washington ", 1997 Award | 7-12 Mathematics 
 Barbara Trytko , Woodsdale Elementary ," Wheeling , West Virginia ", 1997 Award | K-6 Mathematics 
 Linda Turner , Vicksburg Intermediate School ," Vicksburg , Mississippi ", 1997 Award | K-6 Mathematics 
 Mary Tusha , Verdigre Public Schools ," Verdigre , Nebraska ", 1997 Award | K-6 Science 
 Steven Unruhe , Riverside High School ," Durham , North Carolina ", 1997 Award | 7-12 Mathematics 
 Alison Vail , Willard L. Bowman Elementary ," Anchorage , Alaska ", 1997 Award | K-6 Mathematics 
 Frank Vanzant , Tullahoma High School ," Tullahoma , Tennessee ", 1997 Award | 7-12 Mathematics 
 Carmen Venes ," &quot;Segunda Unidad Ramon Emeterio Betances, Bajadero&quot; "," Arecibo , Puerto Rico ", 1997 Award | 7-12 Mathematics 
 Deborah Vosler , Cheyenne East High School ," Cheyenne , Wyoming ", 1997 Award | 7-12 Science 
 Karen Voss , Merrill Middle School ," Des Moines , Iowa ", 1997 Award | K-6 Mathematics 
 Andrea Walker , New Orleans Public Schools ," New Orleans , Louisiana ", 1997 Award | 7-12 Science 
 Ginger Watson , New London Elementary School ," New London , North Carolina ", 1997 Award | K-6 Mathematics 
 Brenda Webb , Kilby Laboratory School ," Florence , Alabama ", 1997 Award | K-6 Science 
 Valrick Welch , San Vicente Elementary ," Saipan , Northern Mariana Islands ", 1997 Award | K-6 Science 
 Jane Whitaker , Lenoir City High School ," Lenoir City , Tennessee ", 1997 Award | 7-12 Science 
 Margaret Williams , Mississippi Elementary School ," Coon Rapids , Minnesota ", 1997 Award | K-6 Mathematics 
 Shirley Willimon , Simpsonville Elem School ," Simpsonville , South Carolina ", 1997 Award | K-6 Mathematics 
 Kerri Wood , River Heights Elementary ," Menomonie , Wisconsin ", 1997 Award | K-6 Mathematics 
 Carol Wright , Weir Attendance Center ," Weir , Mississippi ", 1997 Award | 7-12 Mathematics 
" Richard Yonker, Sr ", Breck High School ," Golden Valley , Minnesota ", 1997 Award | 7-12 Mathematics 
 Anne Zellinger , Kahuku High and Intermediate School ," Kahuku , Hawaii ", 1997 Award | 7-12 Science 
 Joseph Zimmerman , Central Academy ," Des Moines , Iowa ", 1997 Award | 7-12 Mathematics 
 Barbara Ziroli , Central High School ," Providence , Rhode Island ", 1997 Award | 7-12 Mathematics 
,,,
 Roxie Ahlbrecht , Robert Frost Elementary ," Sioux Falls , South Dakota ", 2002 Award | K-6 Mathematics 
 Dayo Akinsheye , Seaton Elementary School ," Washington , District of Columbia ", 2002 Award | K-6 Mathematics 
 Sharon Andrews , Mark Twain Elementary ," Sioux Falls , South Dakota ", 2002 Award | K-6 Science 
 Carol Antes , John R. Downes Elementary School ," Newark , Delaware ", 2002 Award | K-6 Mathematics 
 Michael Barondeau , Edmunds Central School District 22-5 ," Roscoe , South Dakota ", 2002 Award | 7-12 Science 
 Theresa Barry , Ladue Middle School ," St. Louis , Missouri ", 2002 Award | 7-12 Mathematics 
 Julia Barthelmes , Daniel Wright Elementary ," Columbus , Ohio ", 2002 Award | K-6 Science 
 Jonathan Bergmann , Eaglecrest High School ," Aurora , Colorado ", 2002 Award | 7-12 Science 
 Judith Bieze , Hayden Meadows Elementary ," Hayden , Idaho ", 2002 Award | K-6 Mathematics 
 Alfred Bird , Charlestown High School ," Charlestown , Massachusetts ", 2002 Award | 7-12 Science 
 Corinne Biscardi , Galvin Middle School ," Wakefield , Massachusetts ", 2002 Award | 7-12 Mathematics 
 Leslie Blanchard , Iberville Parish School Board ," Plaquemine , Louisiana ", 2002 Award | 7-12 Science 
 Michelle Blanchard , Oak Grove Primary ," Prairieville , Louisiana ", 2002 Award | K-6 Science 
 Heidi Bledsoe , Wendell GT Magnet Elementary ," Wendell , North Carolina ", 2002 Award | K-6 Science 
 Margaret Bowles , Townsend Elementary ," Townsend , Montana ", 2002 Award | K-6 Science 
 Jim Boyce , White River High School ," Buckley , Washington ", 2002 Award | 7-12 Science 
 Deborah Britt , Asheville High School ," Asheville , North Carolina ", 2002 Award | 7-12 Mathematics 
 Teri Brown , Inez Science and Technology Elementary ," Albuquerque , New Mexico ", 2002 Award | K-6 Mathematics 
 Wanda Burns , Mountain Brook High School ," Mountain Brook , Alabama ", 2002 Award | 7-12 Mathematics 
 Heidi Capraro , Hillside Middle School ," Northville , Michigan ", 2002 Award | K-6 Science 
 Vincent Carbone , North Stratfield Elementary School ," Fairfield , Connecticut ", 2002 Award | K-6 Science 
 Linda Carpenter , new Suncook School ," Lovell , Maine ", 2002 Award | K-6 Mathematics 
 Patricia Carpenter , McDonald Elementary School ," Mohawk , Tennessee ", 2002 Award | 7-12 Science 
 Kathryn Chandler , Trace Crossings School ," Hoover , Alabama ", 2002 Award | K-6 Mathematics 
 Rosenia Christiansen , W. H. Lincoln School ," Brookline , Massachusetts ", 2002 Award | K-6 Mathematics 
 Brenda Clifton , Ruth Hill Elementary ," Newman , Georgia ", 2002 Award | K-6 Mathematics 
 Betty Connor , West Valley High School ," Fairbans , Alaska ", 2002 Award | 7-12 Science 
 Jane Cooney , New Augusta South ," Indianapolis , Indiana ", 2002 Award | K-6 Mathematics 
 Linda Coray , Park Elementary ," Spanish Fork , Utah ", 2002 Award | K-6 Mathematics 
 Mary Corderman , Madison C-3 School ," Madison , Missouri ", 2002 Award | K-6 Mathematics 
 Deborah Cornelison , Byng Junior High School ," Ada , Oklahoma ", 2002 Award | 7-12 Science 
 Naveen Cunha , Oakwood Intermediate School ," College Station , Texas ", 2002 Award | K-6 Science 
 Joellen Dodds , O&apos;Leary Junior High School ," Twin Falls , Idaho ", 2002 Award | 7-12 Science 
 Suzanne Dunn , Memeorial Elementary School ," Hopedale , Massachusetts ", 2002 Award | K-6 Science 
 Mary Eldredge-Sandbo , Des Lacs-Burlington High School ," Des Lacs , North Dakota ", 2002 Award | 7-12 Science 
 Carol Engelmann , Elkhorn Middle School ," Elkhorn , Nebraska ", 2002 Award | 7-12 Science 
 Barry Feldman , Corona del Sol High School ," Tempe , Arizona ", 2002 Award | 7-12 Science 
 Robert Femiano , Arbor Heights Elementary ," Seattle , Washington ", 2002 Award | K-6 Mathematics 
 Adele Fielding , Seminole High School ," Sanford , Florida ", 2002 Award | 7-12 Mathematics 
 Wayne Fisher , Myers Park High School ," Charlotte , North Carolina ", 2002 Award | 7-12 Science 
 Kristy Ford , Eisenhower Elementary ," Norman , Oklahoma ", 2002 Award | K-6 Mathematics 
 Jeanne Frank , Sentinel High School ," Missoula , Montana ", 2002 Award | 7-12 Science 
 John Freal , Blaine High School ," Blaine , Washington ", 2002 Award | 7-12 Mathematics 
 Paula Freidson , Katherine Curren Elementary School ," Hopkins , Minnesota ", 2002 Award | K-6 Mathematics 
 Joshua Frost , Cooperative Middle School ," Stratham , New Hampshire ", 2002 Award | 7-12 Mathematics 
 Suzy Gagnon , Mast Way Elementary School ," Lee , New Hampshire ", 2002 Award | K-6 Mathematics 
 Scot Gill , Tates Creek High School ," Lexington , Kentucky ", 2002 Award | 7-12 Science 
 Deborah Gordon , Madison Simis Elementary School ," Phoenix , Arizona ", 2002 Award | K-6 Mathematics 
 Dewey Gottlieb , Pearl City High School ," Pearl City , Hawaii ", 2002 Award | 7-12 Mathematics 
 Jodi Green , North laurel Elementary ," Laurel , Delaware ", 2002 Award | K-6 Science 
 Rhonda Grindy , Jim Hill Middle School ," Minot , North Dakota ", 2002 Award | 7-12 Mathematics 
 Tracy Hager , Shepard Boulevard Elementary School ," Columbia , Missouri ", 2002 Award | K-6 Science 
 Barbara Haines , White Hall Elementary ," Fairmont , West Virginia ", 2002 Award | K-6 Science 
 Alane Hale , Alameda Junior High School ," Pocatello , Idaho ", 2002 Award | 7-12 Mathematics 
 Gail Hall , Northfield Middle High School ," Northfield , Vermont ", 2002 Award | 7-12 Science 
 Jennifer Harper , Cavendish Town Elementary School ," Proctorsville , Vermont ", 2002 Award | K-6 Mathematics 
 Mary Harris , John Burroughs School ," St. Louis , Missouri ", 2002 Award | 7-12 Science 
 Anita Hartley , Maury High School ," Norfolk , Virginia ", 2002 Award | 7-12 Mathematics 
 Pamela Hartley , I. B. Perrine Elementary ," Twin Falls , Idaho ", 2002 Award | K-6 Science 
 Jennifer Hataway , Beacon Cove Intermediate ," Jupiter , Florida ", 2002 Award | K-6 Mathematics 
 William Helf , Homewood High School ," Homewood , Alabama ", 2002 Award | 7-12 Science 
 Patricia Heydet-Kirsch , Boca Raton Community High School ," Boca Raton , Florida ", 2002 Award | 7-12 Science 
 Ann Houmand , Crescent Elementary ," Sandy , Utah ", 2002 Award | K-6 Science 
 Douglas Hutton , Glastonbury High School ," Glastonbury , Connecticut ", 2002 Award | 7-12 Science 
 Joan Islas , Charles Turner Joy Elementary School ," FPO , Armed Forces Pacific ", 2002 Award | K-6 Mathematics 
 Carolyn Jacobs , Dean Morgan Junior High ," Casper , Wyoming ", 2002 Award | 7-12 Science 
 Natalie Jakucyn , Glenbrook South High School ," Glenview , Illinois ", 2002 Award | 7-12 Mathematics 
 Sara Jarvis , Washington -Carver Elementary School ," Muncie , Indiana ", 2002 Award | K-6 Science 
 Marilyn Jenkins , Furman Middle School ," Sumter , South Carolina ", 2002 Award | K-6 Science 
 Megan Johnson , Capital High School ," Charleston , West Virginia ", 2002 Award | 7-12 Mathematics 
 Scott Jordan , Cuba-Rushford Central School ," Cuba , New York ", 2002 Award | 7-12 Science 
 Brenda Khayat , Park Forest Elementary School ," State College , Pennsylvania ", 2002 Award | K-6 Mathematics 
 Terrie Kielborn , Stewart Middle School ," Douglasville , Georgia ", 2002 Award | K-6 Science 
 Debbie Kohler , Sequoyah High School ," Canton , Georgia ", 2002 Award | 7-12 Mathematics 
 Eric Koser , Mankato West High School ," Mankato , Minnesota ", 2002 Award | 7-12 Science 
 Cynthia Kravatz , Coebourn Elementary ," Brookhaven , Pennsylvania ", 2002 Award | K-6 Science 
 Kathryn Lacy , Southwest Junior High School ," Springdale , Arkansas ", 2002 Award | 7-12 Science 
 Sarah Lamb , Owensboro Middle School ," Owensboro , Kentucky ", 2002 Award | 7-12 Mathematics 
 Kevin Lavigne , Hanover High School ," Hanover , New Hampshire ", 2002 Award | 7-12 Science 
 Clifford Lee , Iolani School ," Honolulu , Hawaii ", 2002 Award | K-6 Mathematics 
 Janet Lewandowski , Maize East Elementary ," Maize , Kansas ", 2002 Award | K-6 Science 
 Clare Lewis , Ricardo Richards Elementary School ," Kingshill , Virgin Islands ", 2002 Award | K-6 Mathematics 
 Catherine Lutz , Madison Station Elementary ," Madison , Mississippi ", 2002 Award | K-6 Mathematics 
 Henry Mack , Clinton High School ," Clinton , South Carolina ", 2002 Award | 7-12 Science 
 Margaret Magner , Independence Middle School ," Independence , Iowa ", 2002 Award | 7-12 Mathematics 
 Bonnie Magura , Jackson Middle School ," Portland , Oregon ", 2002 Award | 7-12 Science 
 Pam Mason , Patrick Henry Middle School ," Granada Hills , California ", 2002 Award | 7-12 Mathematics 
 David Maugel , Central Noble High School ," Albion , Indiana ", 2002 Award | 7-12 Mathematics 
 Tammy Mauney , Booneville Middle School ," Booneville , Mississippi ", 2002 Award | 7-12 Science 
 Charaline Maxim , Mesa Union School ," Somis , California ", 2002 Award | K-6 Mathematics 
 Kathleen McAneny , William Penn High School ," New Castle , Delaware ", 2002 Award | 7-12 Mathematics 
 Virginia McBee , North Star Elementary School ," Nikiski , Alaska ", 2002 Award | K-6 Science 
" Harry McDonald, III ", Blue Valley High School ," Stilwell , Kansas ", 2002 Award | 7-12 Science 
 Rhonda McGlinn , Hunsberger Elementary School ," Reno , Nevada ", 2002 Award | K-6 Science 
 Veronica Meeks , Western Hills High Schools ," Forth Worth , Texas ", 2002 Award | 7-12 Mathematics 
 Margaret Merrill , Plummer-Motz School ," Falmouth , Maine ", 2002 Award | K-6 Science 
 Lisa Mesple , Heatherwood Elementary ," Boulder , Colorado ", 2002 Award | K-6 Mathematics 
 James Miller , Randall G. Lynch Middle School ," Farmington , Arkansas ", 2002 Award | K-6 Science 
 Gertrude Mitchell , Wy&apos;East Middle School ," Hood River , Oregon ", 2002 Award | K-6 Mathematics 
 Kristen Moorhead , Madison Meadows School ," Phoenix , Arizona ", 2002 Award | K-6 Science 
 Janice Moreland , Seoul American Middle School ," APO , Armed Forces Pacific ", 2002 Award | K-6 Science 
 Karen Morgan , East Park Elementary ," Fairmont , West Virginia ", 2002 Award | K-6 Mathematics 
 Wynn Mott , Woody Gap School ," Suches , Georgia ", 2002 Award | 7-12 Science 
 Julie Murgel , Slavens School ," Denver , Colorado ", 2002 Award | 7-12 Mathematics 
 Jill Namba-Mauricio , Kipapa Elementary ," Mililani , Hawaii ", 2002 Award | K-6 Science 
 Linda Nelson , Salina High School Central ," Salina , Kansas ", 2002 Award | 7-12 Mathematics 
 Bradley Neu ," All Saints School of Lubbock, Inc. "," Lubbock , Texas ", 2002 Award | 7-12 Science 
 Duane Nickell , Franklin Central High School ," Indianapolis , Indiana ", 2002 Award | 7-12 Science 
 Kathleen Nolan , Brighton Elementary School ," Island Pond , Vermont ", 2002 Award | 7-12 Mathematics 
 Morgan Nolte , La France Elementary ," La France , South Carolina ", 2002 Award | K-6 Mathematics 
 Christina Nugent , Fulton School ," Dubuque , Iowa ", 2002 Award | K-6 Mathematics 
 Ken O'Brien , Clayton Middle School ," Satl Lake City , Utah ", 2002 Award | 7-12 Science 
 Susan Osberg , North Kingstown High School ," North Kingstown , Rhode Island ", 2002 Award | 7-12 Mathematics 
 Frederick Page , Northwestern High School ," Detroit , Michigan ", 2002 Award | 7-12 Science 
 Carol Paskiewicz , Wethersfield High School ," Wethersfield , Connecticut ", 2002 Award | 7-12 Mathematics 
 Lynn Patterson , Homer Pittard Campus School ," Murfreesboro , Tennessee ", 2002 Award | K-6 Mathematics 
 James Peters , Westminster High School ," Westminster , Maryland ", 2002 Award | 7-12 Science 
 Marcia Pool , DeMores Elementary School ," Medora , North Dakota ", 2002 Award | K-6 Mathematics 
 Susan Popelka , River Falls High School ," River Falls , Wisconsin ", 2002 Award | 7-12 Mathematics 
 Daniel Potts , Chariho Middle School ," Wood River Junction , Rhode Island ", 2002 Award | 7-12 Science 
 Susan Powell , Cimarron Public School ," Lahoma , Oklahoma ", 2002 Award | 7-12 Mathematics 
 Sheila Raja , Thornton Fractional North High School ," Calumet City , Illinois ", 2002 Award | 7-12 Science 
 Kathleen Rank , Bennett Intermediate School ," Piqua , Ohio ", 2002 Award | K-6 Mathematics 
 Jeffrey Remington , Palmyra Middle School ," Palmyra , Pennsylvania ", 2002 Award | 7-12 Science 
 Barbara Renoux , Baranof Elementary ," Sitka , Alaska ", 2002 Award | K-6 Mathematics 
 Donna Roberts , Liverpool High School ," Liverpool , New York ", 2002 Award | 7-12 Mathematics 
 J Roberts , Hunt Mapp Middle School ," Portsmouth , Virginia ", 2002 Award | 7-12 Science 
 Honor Roble , Hine Junior High School ," Washington , District of Columbia ", 2002 Award | 7-12 Science 
 Merisbel Román , Patria Latorre Ram&#xED;rez High School ," San Sebasti&#xE1;n , Puerto Rico ", 2002 Award | 7-12 Mathematics 
 Daniel Rubenstein , SEED Public Charter School ," Washington , District of Columbia ", 2002 Award | 7-12 Mathematics 
 Beth Schefelker , Henry David Thoreau Elementary School ," Milwaukee , Wisconsin ", 2002 Award | K-6 Mathematics 
 James Schmitt , Eau Claire North High School ," Eau Claire , Wisconsin ", 2002 Award | 7-12 Science 
 Stuart Schwartz , Wissahickon High School ," Ambler , Pennsylvania ", 2002 Award | 7-12 Mathematics 
 Lisa Scott , Billings Senior High School ," Billings , Montana ", 2002 Award | 7-12 Mathematics 
 Susan Sewell , Columbus Middle School ," Columbus , Wisconsin ", 2002 Award | K-6 Science 
 Judy Shield , Meadowlark Elementary ," Kearney , Nebraska ", 2002 Award | K-6 Mathematics 
 Ann Simonelli , Holden Elementary ," Warwick , Rhode Island ", 2002 Award | K-6 Science 
 Carolyn Skoczylas , Winchester Elementary ," West Seneca , New York ", 2002 Award | K-6 Science 
 Jeffrey Smith , Carlton Math Science Magnet School ," Wichita , Kansas ", 2002 Award | K-6 Mathematics 
 Joanne Smith , West Memphis High School ," West Memphis , Arkansas ", 2002 Award | 7-12 Mathematics 
 Donald Sprangers , Washington Academy ," East Machias , Maine ", 2002 Award | 7-12 Science 
 John Staley , Hereford High School ," Parkton , Maryland ", 2002 Award | 7-12 Mathematics 
 Teena Staller , Kennedy Elementary School ," Medford , Oregon ", 2002 Award | K-6 Science 
 Stacy Stapleton , Washington Elementary School ," Washington , New Hampshire ", 2002 Award | K-6 Science 
 Genni Steele , Central Middle School ," White Bear Lake , Minnesota ", 2002 Award | 7-12 Mathematics 
 Helena Stevens , Ricardo Richards Elementary School ," Kingshill , Virgin Islands ", 2002 Award | K-6 Science 
 Louise Stivers , Buchanan Street Math Science Technology Center ," Loa Angeles , California ", 2002 Award | K-6 Science 
 Ember Storrs , Cyprus High School ," Magna , Utah ", 2002 Award | 7-12 Mathematics 
 David Stover , The Charter School of Wilmington ," Wilmington , Delaware ", 2002 Award | 7-12 Science 
 Shirley Sypolt , William Mason Cooper Elementary School ," Hampton , Virginia ", 2002 Award | K-6 Science 
 Paul Taylor , Guam High School ," Asan , Guam ", 2002 Award | 7-12 Science 
 Patrick Tomlin , Heyworth Grade School ," Heyworth , Illinois ", 2002 Award | K-6 Mathematics 
 Jamie Treuting , Ethel Schoeffner Elementary ," Destrehan , Louisiana ", 2002 Award | K-6 Mathematics 
 Joel Truesdell , Kamehameha Schools ," Honolulu , Hawaii ", 2002 Award | 7-12 Science 
 Milagros Tubens , Dr. Carols Gonzalez School ," Aguada , Puerto Rico ", 2002 Award | 7-12 Science 
 Brian Twitchell , Mt. Abram High School ," Strong , Maine ", 2002 Award | 7-12 Mathematics 
 Patricia Tyree , Franklin High School ," Franklin , Tennessee ", 2002 Award | 7-12 Mathematics 
 Susan Vogel , Thomas Jefferson High School ," Cedar Rapids , Iowa ", 2002 Award | 7-12 Science 
 Carolann Wade , Apex Elementary School ," Apex , North Carolina ", 2002 Award | K-6 Mathematics 
 Deidra Wakeley , Edison Preparatory School ," Tulsa , Oklahoma ", 2002 Award | K-6 Science 
 Betty Wilson , West Side School ," Magnolia , Arkansas ", 2002 Award | K-6 Mathematics 
 Lynne Wilson , Ox Ridge Elementary ," Darien , Connecticut ", 2002 Award | K-6 Mathematics 
 Darrell Woods , North Canton Hoover High School ," North Canton , Ohio ", 2002 Award | 7-12 Science 
 Mary Wuerth , Tamalpais High School ," Mill Valley , California ", 2002 Award | 7-12 Science 
 Leona Wunnenberg , Jackson Hole Middle School ," Jackson , Wyoming ", 2002 Award | K-6 Science 
 Samantha Wuttig , North Pole High School ," North Pole , Alaska ", 2002 Award | 7-12 Mathematics 
 Wayne Yonkelowitz , Fayetteville Middle School ," Fayetteville , West Virginia ", 2002 Award | 7-12 Science 
 Wade Zwingler , Center Middle School ," Strongsville , Ohio ", 2002 Award | 7-12 Mathematics 
,,,
 Loren Ayresman , King Kekaulike High School ," Pukalani , Hawaii ", 2005 Award | 7-12 Mathematics 
 Ann Battey , Scituate Middle School ," North Scituate , Rhode Island ", 2005 Award | 7-12 Mathematics 
 Colleen Bennett , Bartlesville Mid High School ," Bartlesville , Oklahoma ", 2005 Award | 7-12 Science 
 Steven Benson , Owatonna Senior High School ," Owatonna , Minnesota ", 2005 Award | 7-12 Mathematics 
 Kathy Bonsall , Sulphur High School ," Sulphur , Louisiana ", 2005 Award | 7-12 Science 
 Susan Brown , Central Middle School ," Edgewater , Maryland ", 2005 Award | 7-12 Science 
 Norma Bursaw , Salem High School ," Salem , New Hampshire ", 2005 Award | 7-12 Science 
 Leslie Butler , Millcreek Junior High ," Bountiful , Utah ", 2005 Award | 7-12 Mathematics 
 Margaret Cagle , Lawrence Magnet ," Chatsworth , California ", 2005 Award | 7-12 Mathematics 
 Crystal Caouette , Crosby High School ," Waterbury , Connecticut ", 2005 Award | 7-12 Science 
 Michelle Carr-Jackson , Hall High School ," Little Rock , Arkansas ", 2005 Award | 7-12 Mathematics 
 Caleb Cheung , Frick Middle School ," Oakland , California ", 2005 Award | 7-12 Science 
 Paula Cissell , Beaumont Middle School ," Lexington , Kentucky ", 2005 Award | 7-12 Mathematics 
 Donna Cook , Crossett Brook Middle School ," Duxbury , Vermont ", 2005 Award | 7-12 Mathematics 
 Shane Costello , Pinedale High School ," Pinedale , Wyoming ", 2005 Award | 7-12 Mathematics 
